"Id","Latitude","Longitude","YearCollected","MonthCollected","DayCollected","TimeCollected","DurationInHours","NumberObservers","ObservationCount"
65,40.86194,-72.64833,2006,7,8,5.25,0.25,2,5
66,42.1240354,-76.902345,2006,10,5,7.17,0.17,1,5
67,43.0040947,-76.747422,2006,9,22,17,1,2,1
68,41.3231118,-74.250711,2006,9,3,7,3.5,1,0
69,42.2153016,-76.839417,2006,10,21,7.75,0.33,4,8
70,42.1240354,-76.902345,2006,10,7,8.42,0.17,3,3
71,42.0470383,-76.734386,2006,10,15,8.08,0.33,1,4
72,43.2575609,-77.4618,2006,11,27,8.5,2,2,8
74,41.4770699,-74.197182,2006,6,16,11,4,1,0
75,42.6093474,-73.890484,2006,4,24,13,2,15,0
76,42.2153016,-76.839417,2006,9,9,7.5,0.08,1,1
79,42.0774046,-76.842568,2006,9,5,18.83,0.08,2,4
80,42.4794373,-76.451069,2006,9,6,10.58,0.17,1,1
81,42.0437264,-76.731519,2006,9,8,7.42,0.5,1,2
83,40.8927622,-72.329703,2006,7,8,6,1,2,10
84,42.8253547,-77.103827,2006,5,28,7,4,6,7
85,42.0509497,-76.744909,2006,10,3,7.67,0.33,1,3
86,42.1190265,-76.898804,2006,10,31,7.83,0.17,1,1
88,42.1190265,-76.898804,2006,10,7,9.17,0.25,3,1
89,42.125218,-76.901455,2006,10,5,6.92,0.08,1,1
90,42.0549284,-76.74137,2006,10,19,8.33,0.08,1,1
91,42.0761071,-76.841729,2006,9,6,12.17,0.33,1,25
93,43.2575609,-77.4618,2006,9,24,8.25,3,8,12
94,42.0651607,-76.873999,2006,10,21,0.83,0.42,3,12
95,42.1207129,-76.899213,2006,9,20,7.42,0.42,2,1
96,43.0908972,-77.422834,2006,9,7,9,2.5,1,2
98,42.1190265,-76.898804,2006,10,26,9.42,0.08,1,6
99,42.1147604,-76.854503,2006,9,6,8.08,0.05,1,5
102,42.0509497,-76.744909,2006,10,3,7.25,0.42,1,6
103,42.6093474,-73.890484,2006,8,28,18,1,2,0
104,42.0518816,-76.743719,2006,10,19,7.75,0.42,1,4
105,42.6093474,-73.890484,2006,6,12,7,1,15,0
106,43.257225,-77.45329,2006,7,30,9,1,2,8
107,42.8459013,-73.547284,2006,11,4,8.42,4,1,6
109,43.2575609,-77.4618,2006,11,6,8.25,2,1,20
110,43.2575609,-77.4618,2006,12,11,8.83,2,2,12
111,43.2575609,-77.4618,2006,11,13,8.67,1.83,2,16
112,42.1220927,-76.903765,2006,10,7,8.42,0.75,3,1
113,42.7825933,-73.807798,2006,5,14,7.5,3.5,15,0
114,43.1713567,-76.951223,2006,9,30,8.5,2.75,4,6
115,42.901929,-77.669864,2006,11,13,12.5,0.75,1,1
116,40.6638889,-73.968611,2006,9,13,15.5,2.5,1,0
118,42.8460563,-73.547248,2006,11,4,9,3.5,1,10
119,40.590275,-73.89166,2006,9,16,8,3.75,1,0
120,42.7825933,-73.807798,2006,9,28,9,3,1,6
121,42.1249119,-76.898977,2006,10,31,8.42,0.08,1,12
122,42.0437264,-76.731519,2006,9,26,8.75,0.08,1,2
123,42.8320059,-73.905605,2006,9,22,17,1,1,0
124,42.2179435,-76.837261,2006,10,2,8.42,0.33,1,19
126,42.2133461,-76.83326,2006,9,9,7.5,0.42,1,3
127,42.2153016,-76.839417,2006,11,16,8.75,0.08,1,1
129,42.0509497,-76.744909,2006,9,16,8.17,0.58,1,3
131,42.6093776,-73.890489,2006,9,3,12,2,1,12
132,42.6093474,-73.890484,2006,5,25,7,1.5,15,0
133,42.9501405,-76.942749,2006,1,2,7,6,3,1
135,42.5731703,-74.17165,2006,9,5,9,2,1,25
136,42.1249669,-76.897657,2006,9,29,8,0.08,1,4
137,42.9756126,-76.783043,2006,10,7,12.5,1,2,0
138,42.2179435,-76.837261,2006,11,17,8.08,1.58,1,9
139,43.2722656,-76.9782,2006,10,31,7.5,1,1,0
140,42.7825933,-73.807798,2006,4,10,11,2,1,0
142,42.7774025,-73.824141,2006,10,19,16,1.5,1,1
143,42.2179435,-76.837261,2006,10,2,7.75,0.67,1,11
144,42.7825933,-73.807798,2006,9,21,18,1.25,1,0
145,42.8460563,-73.547248,2006,10,22,14,2,1,10
148,42.5830383,-77.124979,2006,10,15,11,0.75,2,10
149,42.0517309,-76.738552,2006,10,30,7.42,0.5,1,41
150,42.2153016,-76.839417,2006,12,12,8.5,0.17,1,1
151,42.1231555,-76.905777,2006,10,5,7,0.08,1,1
152,42.1411959,-77.245817,2006,12,16,11.5,0.83,1,9
153,42.8468739,-78.852983,2006,9,2,9.5,2,2,14
154,42.8468739,-78.852983,2006,9,2,9.5,2,2,14
155,41.2344458,-74.237967,2006,5,22,4.5,7,4,5
156,43.112503,-76.987467,2006,10,6,11,0.58,1,0
158,42.9175987,-77.112356,2006,9,23,10.17,2,2,1
159,42.0518816,-76.743719,2006,9,16,9,1.33,1,2
160,42.73167,-73.87917,2006,10,4,15.08,1.25,1,3
161,41.2833266,-74.526253,2006,8,23,8.5,2,2,5
163,42.1207129,-76.899213,2006,10,26,9.33,0.42,1,9
164,43.1713567,-76.951223,2006,10,6,7.75,2,1,0
165,42.0509497,-76.744909,2006,10,19,7.58,0.17,1,3
166,43.0264021,-77.482591,2006,9,10,8.75,1.5,1,20
167,42.047163,-76.733181,2006,10,15,8.58,0.17,1,1
168,42.0550285,-76.743622,2006,9,16,10.33,0.17,1,2
170,42.6093776,-73.890489,2006,9,30,8.5,3,12,0
173,42.0563669,-76.741905,2006,12,19,8.25,0.08,1,1
174,41.2603882,-74.174624,2006,5,27,5,7,4,3
175,42.1207129,-76.899213,2006,10,7,9.17,0.75,3,7
176,42.7825933,-73.807798,2006,6,23,7,3,1,5
177,42.2133461,-76.83326,2006,11,6,8.25,0.58,1,2
178,42.2157666,-76.843314,2006,12,12,7.33,1.17,1,1
179,40.62044,-73.82697,2006,9,17,13.25,2.5,1,2
180,42.7817644,-73.686457,2006,9,23,14,2,1,0
182,42.1228244,-76.898917,2006,10,5,7.92,0.33,1,9
184,42.0470383,-76.734386,2006,10,15,8.75,0.08,1,9
186,42.98633,-76.73545,2006,10,2,13.17,1.33,1,0
187,42.1220927,-76.903765,2006,10,26,8.92,0.5,1,4
188,41.4016303,-74.352196,2006,11,26,8.5,3,3,0
189,42.2799363,-76.908288,2006,12,30,16.17,0.67,1,2
190,42.0761071,-76.841729,2006,9,5,19.17,0.58,1,3
191,41.0321258,-72.311133,2006,9,20,7,1,1,1
192,42.0510903,-76.738992,2006,10,15,8.42,0.08,1,1
194,42.6093474,-73.890484,2006,8,14,9,2.5,15,0
195,42.0509497,-76.744909,2006,9,14,7.08,0.58,1,1
196,42.901929,-77.669864,2006,11,3,12.75,0.92,1,1
197,42.901929,-77.669864,2006,11,1,12.17,0.5,1,2
198,42.8460563,-73.547248,2006,11,4,8,4,15,2
199,42.6165649,-77.093148,2006,11,18,13.5,1,1,0
200,42.0509497,-76.744909,2006,10,27,8,1,1,9
201,42.6093474,-73.890484,2006,5,4,7.5,1,15,0
202,42.8468739,-78.852983,2006,9,2,9.5,2,2,14
203,43.2575609,-77.4618,2006,12,27,9.33,1.67,2,9
204,42.2133461,-76.83326,2006,11,6,19.58,0.67,1,4
205,40.7786111,-73.970556,2006,9,4,10.33,1,1,0
206,40.6813011,-73.641197,2006,3,19,14,1.5,1,0
207,43.2722656,-76.9782,2006,10,31,7.5,1,1,0
208,42.98633,-76.73545,2006,10,27,11.5,1.75,2,0
209,42.1228244,-76.898917,2006,9,29,7.83,0.17,1,1
210,42.0510903,-76.738992,2006,11,1,8.5,0.05,1,3
211,42.1220927,-76.903765,2006,10,31,7.58,0.25,1,3
212,43.2575609,-77.4618,2006,12,18,8.67,1.83,1,2
213,42.8460563,-73.547248,2006,10,15,16,1.5,1,15
214,42.1220927,-76.903765,2006,10,5,7.08,0.5,1,1
215,42.0550285,-76.743622,2006,10,19,8.17,0.05,1,3
216,40.9927446,-72.35054,2006,9,11,7.5,0.5,1,20
217,42.143307,-76.916857,2007,4,26,8.33,3.08,1,12
221,40.9985894,-72.496333,2007,5,27,12,1,1,0
222,43.0906572,-77.378018,2007,10,18,9,2.33,1,100
223,40.6233011,-73.624423,2007,6,24,13.25,1.75,1,0
224,44.7038631,-74.537945,2007,4,25,3.92,1.08,1,45
225,42.200035,-73.866554,2007,5,9,7.25,4,18,4
226,43.0906572,-77.378018,2007,6,26,7,6,2,15
227,41.7399975,-74.059983,2007,3,16,17,3,2,8
231,43.0906572,-77.378018,2007,9,6,9.33,1.17,1,6
233,40.6787341,-73.693693,2007,1,27,14.5,2,1,0
234,42.6238547,-77.390528,2007,6,22,7.5,1.75,2,3
235,40.62044,-73.82697,2007,8,26,7.25,6.25,2,0
236,44.1812807,-74.474773,2007,5,25,11.25,0.42,1,1
237,42.7149214,-73.866019,2007,6,12,10,1,1,0
238,41.3011999,-73.986958,2007,5,19,7.33,3.5,8,0
241,42.8468739,-78.852983,2007,9,7,17,1.5,1,40
242,40.6787341,-73.693693,2007,4,6,12.5,2,1,0
243,43.0397871,-77.473826,2007,9,11,8,2,1,4
244,43.0448054,-73.861084,2007,7,12,6.58,2.33,1,0
246,42.2321637,-76.665452,2007,4,9,9.75,0.05,1,1
247,40.7825,-73.96583,2007,10,15,13.5,0.5,1,1
248,42.7560879,-77.341089,2007,3,25,9.5,1.58,1,8
249,40.7037168,-73.162669,2007,10,13,13.75,3.5,1,0
250,42.7846129,-73.681175,2007,5,7,17.25,1.75,1,0
253,40.6787707,-73.695723,2007,4,28,15.33,1.42,1,0
255,42.7825933,-73.807798,2007,7,29,11.25,0.83,1,0
257,42.6717162,-76.972204,2007,6,11,7,2,9,8
258,42.6093776,-73.890489,2007,5,10,12.5,2.33,1,0
261,42.3693338,-75.241023,2007,5,1,6,1.25,1,6
263,40.744953,-73.73738,2007,5,11,15,1.25,1,0
264,43.2575609,-77.4618,2007,6,18,8.5,1.83,2,9
265,42.8374578,-73.657494,2007,4,1,8,5,12,0
267,43.2575609,-77.4618,2007,7,23,8.5,2,1,27
268,40.5898488,-73.553174,2007,4,28,9.5,2.33,1,0
270,43.0787739,-76.708018,2007,5,4,4,1,1,0
271,42.8010687,-74.59322,2007,6,24,10.58,1.92,1,0
272,42.7825933,-73.807798,2007,4,3,16.5,1.5,1,0
275,42.82694,-73.95389,2007,4,5,0,0.33,1,0
277,41.5366669,-74.51667,2007,5,19,13.5,1.5,8,0
278,43.2575609,-77.4618,2007,9,5,8.42,2,1,6
279,42.7825933,-73.807798,2007,3,25,11.58,3,3,0
280,40.5927737,-73.596457,2007,9,9,14.5,0.92,1,0
281,42.1470204,-76.90217,2007,3,26,7.67,1.83,1,22
282,40.6787707,-73.695723,2007,4,21,10.5,2,1,0
284,43.0906572,-77.378018,2007,5,13,20.5,0.5,1,8
285,42.7883464,-73.888207,2007,5,6,7.5,3.5,5,0
286,42.200035,-73.866554,2007,4,17,14.25,1,1,4
287,42.1046544,-76.950989,2007,4,19,9.5,0.42,1,4
288,42.8645626,-73.824767,2007,5,21,9,6,1,3
289,40.7786111,-73.970556,2007,5,24,7.25,2.25,1,0
290,44.7038631,-74.537945,2007,5,5,12.92,2.58,1,4
291,42.1461838,-76.915594,2007,3,13,8.33,0.42,1,3
292,40.5888889,-73.556667,2007,7,21,7.42,1.58,2,4
293,40.5786111,-73.572778,2007,7,8,6.67,2,1,0
294,40.5861416,-73.99447,2007,7,21,5.67,1.17,2,2
295,43.2575609,-77.4618,2007,9,24,8.58,2.25,3,15
296,42.2261362,-76.664698,2007,4,9,8.92,0.5,1,1
297,42.1046544,-76.950989,2007,4,24,6.92,0.83,1,10
298,42.146175,-73.75124,2007,1,6,7,2,1,50
299,42.2262929,-76.674442,2007,4,9,10.33,0.17,1,13
301,40.6787707,-73.695723,2007,3,30,16.83,1.5,1,0
302,42.1019161,-76.9382,2007,4,19,8.92,0.25,1,6
303,42.8820021,-77.813759,2007,5,25,6.75,4,1,30
305,43.2900743,-77.675281,2007,5,12,6.75,5,1,10
306,43.2575609,-77.4618,2007,4,23,8.17,1.92,2,17
307,44.7038631,-74.537945,2007,5,13,14.5,2.25,3,5
308,42.2319664,-76.665323,2007,4,3,9.42,0.17,1,1
309,42.2982445,-75.466705,2007,5,28,10,2,1,4
310,42.8658051,-77.236676,2007,6,16,7,3,7,9
311,42.2319664,-76.665323,2007,4,21,12.5,0.17,1,1
312,42.9617502,-77.090654,2007,5,19,7,4,8,6
313,42.1462002,-76.910232,2007,4,20,8.25,1.17,1,16
314,42.6093776,-73.890489,2007,3,27,18.5,2.25,1,3
316,42.7825933,-73.807798,2007,9,2,7.67,2.75,2,5
317,43.1388391,-77.567017,2007,5,11,9,3.5,6,0
318,43.2575609,-77.4618,2007,8,8,8.5,1.83,1,31
320,42.7825933,-73.807798,2007,4,3,8.67,2.83,1,0
321,40.8024928,-73.156543,2007,4,29,10.5,2,1,0
322,42.99361,-73.63889,2007,5,10,8,4.58,9,0
323,42.1462002,-76.910232,2007,5,8,7.83,0.33,1,4
324,42.2319664,-76.665323,2007,4,9,9.5,0.25,1,3
326,42.1462002,-76.910232,2007,4,20,6.25,0.25,1,3
327,40.6161111,-73.830278,2007,7,21,11.92,1.58,2,6
328,43.2141842,-75.991058,2007,10,20,7.25,0.58,1,8
329,42.7825933,-73.807798,2007,8,23,6.83,3.08,1,1
330,40.6813011,-73.641197,2007,4,23,17.67,1,1,0
331,42.846614,-74.640133,2007,5,27,11,0.75,4,2
332,42.8625022,-73.340778,2007,7,29,8.25,0.75,3,0
333,42.103126,-76.941118,2007,4,24,9.42,0.33,1,5
334,43.2575609,-77.4618,2007,7,16,8.5,1.83,1,18
336,42.3949107,-77.18889,2007,7,16,9.5,2.58,1,4
337,43.2293202,-77.618151,2007,4,20,16.25,0.75,1,8
338,43.2575609,-77.4618,2007,3,27,8.67,2.17,2,52
339,42.7825933,-73.807798,2007,5,23,9.17,3,1,0
340,42.98633,-76.73545,2007,8,5,9.5,0.75,2,0
341,41.37901,-74.11973,2007,5,20,14,2.25,1,0
342,43.2452027,-73.54763,2007,1,19,10,3.25,1,20
344,42.4493098,-76.471442,2007,8,23,8.08,0.33,1,3
345,44.176067,-76.071884,2007,4,15,8.08,0.42,1,1
347,43.0906572,-77.378018,2007,5,11,16,0.5,1,5
349,42.11466,-76.81663,2007,4,25,16.58,0.17,1,1
352,44.7038631,-74.537945,2007,5,13,8.83,0.42,1,2
354,42.7825933,-73.807798,2007,5,7,9,2.5,1,0
355,42.901929,-77.669864,2007,5,15,13,0.33,1,6
357,41.0711662,-71.857281,2007,1,27,7,2.5,2,21
358,42.7774025,-73.824141,2007,5,3,13,1.17,1,0
359,42.8004389,-74.593349,2007,5,31,10,1.5,1,0
360,42.146175,-73.75124,2007,1,5,8,2,1,20
361,42.4389271,-75.101004,2007,5,14,11,0.75,1,10
362,42.9756126,-76.783043,2007,3,28,9,1.75,2,0
363,42.2982445,-75.466705,2007,5,25,8,2.75,1,5
365,42.8468739,-78.852983,2007,8,31,17,1.75,1,15
367,42.2261362,-76.664698,2007,4,21,12.17,0.33,1,1
368,40.6169444,-73.819167,2007,7,21,13.58,1.67,2,1
370,40.6787341,-73.693693,2007,3,21,16.25,2.25,1,0
371,40.7453003,-73.165604,2007,9,8,13.83,2.58,1,0
372,42.901929,-77.669864,2007,5,14,12.58,0.75,1,6
373,42.4389271,-75.101004,2007,4,28,15.25,1,1,0
374,42.1461838,-76.915594,2007,3,13,7.83,0.5,1,7
375,40.6787341,-73.693693,2007,1,31,11,2,1,0
376,43.0397871,-77.473826,2007,9,10,8,2,1,2
377,42.7825933,-73.807798,2007,10,24,13.5,1.25,1,2
378,41.0062976,-72.551823,2007,5,27,13.25,1,1,0
380,43.0841852,-73.723068,2007,5,4,16.83,1.25,1,0
381,42.313053,-75.474754,2007,6,3,8.5,2,1,2
382,42.7825933,-73.807798,2007,9,18,8.67,3,1,0
384,42.6093776,-73.890489,2007,6,26,7.67,1.5,1,0
385,43.2575609,-77.4618,2007,8,13,8.83,2,1,6
386,42.1177453,-76.810431,2007,1,1,16.33,0.25,2,1
387,42.9426509,-76.945351,2007,5,23,8,1.5,2,3
388,42.7825933,-73.807798,2007,9,9,15,2,2,15
389,40.6369177,-73.569268,2007,4,7,11,1.33,1,0
394,42.1470204,-76.90217,2007,8,18,7.5,1.17,1,6
396,42.9617502,-77.090654,2007,4,21,7.58,1.42,2,5
397,40.8280989,-72.727776,2007,1,7,11,0.67,1,2
398,43.2575609,-77.4618,2007,8,20,8.25,2,1,20
399,42.313053,-75.474754,2007,6,23,8,2.5,1,3
400,42.7461297,-77.304268,2007,5,13,7,2.5,6,2
401,43.2575609,-77.4618,2007,3,15,8.67,1.83,1,17
402,40.92957,-73.476363,2007,6,3,12.67,3.33,1,0
403,40.6787707,-73.695723,2007,5,5,10.75,5,4,0
404,42.9947886,-76.761457,2007,5,26,9,0.25,1,0
406,43.0040947,-76.747422,2007,5,4,3.25,0.42,1,0
407,40.6787707,-73.695723,2007,5,15,16.83,2.17,1,0
408,40.697299,-73.273659,2007,4,29,14.5,1,1,0
409,42.7752434,-73.69586,2007,7,25,10,2,1,0
410,42.1042723,-76.938801,2007,4,19,8.5,0.17,1,4
411,42.2246404,-76.661568,2007,4,21,10.92,1.25,1,5
412,40.5786111,-73.572778,2007,5,11,17.75,1.75,3,0
413,42.5430896,-73.928976,2007,5,24,8.42,2.75,8,0
414,40.6787707,-73.695723,2007,5,19,14.5,1.5,1,0
415,40.744953,-73.73738,2007,5,11,10.5,3.5,1,0
416,42.2982445,-75.466705,2007,4,1,11.5,0.5,1,4
417,40.6787707,-73.695723,2007,8,8,16.67,1.33,1,120
418,44.1881126,-74.44293,2007,5,25,8.25,2,1,2
419,42.0132083,-74.775267,2007,5,13,7,4,1,0
420,40.7453003,-73.165604,2007,2,4,14.25,2.25,1,0
421,43.1388391,-77.567017,2007,4,11,15.5,1,1,8
422,40.6813011,-73.641197,2007,5,19,12,2.25,1,0
423,40.6787341,-73.693693,2007,3,25,17,1.5,2,0
424,42.7825933,-73.807798,2007,5,23,11.5,2,1,0
426,42.9464338,-76.734352,2007,2,17,1.25,1.42,1,0
427,40.62345,-73.25891,2007,4,23,16.42,0.75,1,0
428,43.0448054,-73.861084,2007,7,14,10.33,1.25,3,0
429,42.7642171,-77.372074,2007,6,24,7.75,1,11,3
430,42.1462002,-76.910232,2007,6,15,7.92,0.17,1,4
431,42.4478336,-76.482779,2007,8,29,8.42,0.33,1,2
432,42.7825933,-73.807798,2007,5,7,15,3,1,0
433,42.901929,-77.669864,2007,4,19,13.25,0.67,1,3
435,42.901929,-77.669864,2007,5,7,12.67,0.67,1,9
439,42.8468739,-78.852983,2007,8,25,13.5,3,1,30
440,42.7825933,-73.807798,2007,6,6,8.83,2.67,1,0
441,42.9787185,-76.773062,2007,7,29,8,1.5,2,4
442,42.7225398,-77.714823,2007,5,15,16.5,4,1,5
443,42.9756126,-76.783043,2007,5,14,6.42,0.58,2,0
444,42.7825933,-73.807798,2007,5,1,13.5,1.33,1,0
446,42.2311963,-76.66918,2007,4,9,9.83,0.5,1,11
447,42.200035,-73.866554,2007,4,18,7.5,2.5,19,3
448,43.0107062,-76.757431,2007,6,23,7,0.5,2,10
449,41.4016303,-74.352196,2007,1,6,9,2.25,6,0
450,42.103126,-76.941118,2007,4,19,8.17,0.33,1,3
452,42.8460563,-73.547248,2007,10,25,7.33,5.17,7,3
454,43.2575609,-77.4618,2007,7,30,9,1.83,1,25
455,42.6960463,-74.036763,2007,6,13,9,3.08,1,0
456,43.2575609,-77.4618,2007,7,9,7.58,1.5,1,18
457,40.8775692,-73.565612,2007,4,28,8,3,8,0
458,43.0906572,-77.378018,2007,10,8,9,1.5,1,8
459,43.2344017,-77.569603,2007,5,7,6.5,3.5,1,10
460,42.6093776,-73.890489,2007,4,22,15.25,1.75,2,0
461,42.5699597,-74.002876,2007,7,7,7.33,3.83,8,0
463,42.2326346,-76.666676,2007,4,3,8.17,0.17,1,3
466,42.9946035,-73.598785,2007,2,22,8,4.42,10,42
468,40.6787707,-73.695723,2007,8,19,16.25,1.5,1,100
470,42.8468739,-78.852983,2007,10,7,16.5,2,1,25
471,42.1725583,-76.825556,2007,8,9,18.92,0.33,1,2
472,42.9735004,-76.743825,2007,4,1,8.67,1,8,8
473,42.901929,-77.669864,2007,4,6,18.67,0.25,1,2
474,42.200035,-73.866554,2007,5,2,7.25,4,19,5
475,40.6787707,-73.695723,2007,5,4,16.75,2,1,0
476,43.3135477,-76.78161,2007,3,21,10.5,2,2,0
478,42.5564292,-73.750478,2007,5,3,18,1,1,0
480,40.5861416,-73.99447,2007,7,21,15.58,0.42,2,1
481,42.901929,-77.669864,2007,5,3,12.83,0.75,1,11
483,42.6768334,-73.700889,2007,6,1,8.67,0.5,1,0
484,42.1462002,-76.910232,2007,3,29,8.08,0.42,1,3
485,42.7712111,-73.455277,2007,5,26,7.25,4.25,12,0
487,42.7774025,-73.824141,2007,4,3,16,1,1,2
488,40.6169444,-73.819167,2007,7,21,13.58,1.67,2,1
489,42.6713926,-76.971588,2007,6,10,7,4,9,4
490,42.0470383,-76.734386,2007,9,18,7.5,0.33,1,1
491,42.1752556,-76.855879,2007,7,13,7.08,0.67,1,3
492,42.6238547,-77.390528,2007,10,14,8.25,2,4,250
493,42.1462002,-76.910232,2007,3,22,8.25,0.08,1,4
494,42.901929,-77.669864,2007,5,30,13.25,0.58,1,7
495,42.7815432,-73.450813,2007,6,26,7.5,4.5,5,0
497,42.7825933,-73.807798,2007,7,19,8,3,3,0
498,42.1462002,-76.910232,2007,8,29,7,1,2,2
499,42.3034538,-73.7889,2007,3,22,17,0.5,1,3
500,40.6867888,-73.712597,2007,3,18,12.75,0.67,1,0
502,42.7825933,-73.807798,2007,2,26,12.25,0.5,2,8
503,42.8788457,-76.800269,2007,4,26,0.25,0.42,1,0
504,42.4962764,-77.24865,2007,7,14,9,3,2,8
505,42.7825933,-73.807798,2007,7,25,9,0.5,1,0
506,43.1713567,-76.951223,2007,6,3,9,2.5,2,3
507,42.4791969,-76.451378,2007,5,1,10.75,0.5,1,0
508,43.2575609,-77.4618,2007,10,15,8.92,2.17,1,129
509,42.1462002,-76.910232,2007,4,25,7.08,1.67,1,9
510,42.1470204,-76.90217,2007,4,20,6.5,0.75,2,5
512,43.2575609,-77.4618,2007,5,13,8.83,1.92,2,23
513,42.98633,-76.73545,2007,6,22,2.08,0.58,1,0
514,42.1462002,-76.910232,2007,3,22,10,0.08,1,3
516,42.7825933,-73.807798,2007,9,20,7.33,4.75,12,0
518,43.2575609,-77.4618,2007,9,17,8.58,2,1,17
519,43.1611483,-76.865499,2007,9,16,8.75,1.5,4,2
521,43.2575609,-77.4618,2007,4,30,7.75,1.75,1,12
522,40.6813011,-73.641197,2007,4,21,12.75,1.5,1,0
523,42.0943374,-73.671441,2007,6,16,8,3.25,10,0
524,42.901929,-77.669864,2007,4,20,17.83,0.75,1,9
525,43.0906572,-77.378018,2007,9,17,10.25,1.75,1,4
528,42.7752434,-73.69586,2007,7,29,10.5,0.42,3,0
529,40.7473468,-73.15072,2007,3,28,15.75,1.75,1,0
530,40.5861416,-73.99447,2007,7,21,15.58,0.42,2,1
531,44.7038631,-74.537945,2007,4,24,7.25,0.25,1,1
532,43.8725478,-74.401167,2007,6,16,7,5,1,0
533,43.35,-77.95,2007,9,16,7.33,4,2,100
534,42.2982445,-75.466705,2007,4,7,0.67,0.75,1,11
535,42.2311963,-76.66918,2007,7,12,10.67,0.42,1,5
536,42.1046544,-76.950989,2007,4,19,7.67,0.5,1,6
538,43.0906572,-77.378018,2007,10,19,9,0.5,1,10
539,42.6927192,-74.109907,2007,5,27,7.75,3.5,9,0
540,42.2982445,-75.466705,2007,5,9,10,2,1,6
541,42.3666617,-77.420654,2007,10,14,8.17,3.17,4,0
542,42.200035,-73.866554,2007,9,5,14.5,2,1,4
543,40.6787707,-73.695723,2007,5,12,11,2.5,3,0
544,40.6787707,-73.695723,2007,6,25,16.75,1,1,0
545,42.2246404,-76.661568,2007,7,12,9.08,1.33,1,5
546,42.901929,-77.669864,2007,5,2,13,0.5,1,5
547,42.200035,-73.866554,2007,5,17,7.5,3.75,14,5
